labels,text
positive,想 起来 上 学期 学校 同意 买 保险
negative,我理 很 无聊
positive,中国 最好 个 医院
negative,脑残 傻 逼 才 喜欢 上学
negative,突然 觉得 自己 有些 无语 呵呵
positive,机器人 孩子 很 可爱
positive,加入 被 人 无辜 那个 人会 怎么样
positive,好 喜欢 心醉
positive,喜欢 一手 能 掌握
negative,说 不 见得
positive,幸福 她 老爷 们 好
negative,告诉 你家 小伟 垃圾
negative,眼睛 蛇 有毒
positive,恋恋 还 能 待 多久
positive,艺术 概论 谢谢 谢谢
negative,建立 痛苦 之上
positive,信 高档 手机 清单
negative,非法 关键字 干
positive,好 喜欢 每时每刻 都 人
positive,我要 好玩 游戏
negative,精明 怎么 粗话 呢
positive,也 很小 两个 刚好
positive,搞 几张 美女 图片
positive,说话 流利 说 呵呵
positive,呵呵 回答 得 很 准确
positive,喜欢 什么 类型 音乐 呢
positive,舒畅 她 长 什么 样子
positive,修改 名片 翩翩公子 乖乖
negative,哦 哦 垃圾
positive,怎么 滴 吧 小爷 乐意
positive,拿 喜欢 什么
negative,可是 也 害怕 狗
positive,想想 痴迷 魔禁 谁 模型 吧 哦
positive,赵 经理 非常 可爱
negative,那 长沙 啦 怨念 给 你们 明天 天气
positive,祝福 事业有成 快乐 每天
negative,总之 就是 很 伤心
positive,早上 吃 什么 早餐 最 富有 营养
negative,嗯 嗯 不 猪 计较 哈
positive,那 多 公交车 手 注意 交通安全
negative,活着 浪费 国家 粮食 死 浪费 国家 土地
negative,不行 我要 先
positive,认真 点会 死
positive,干吗 天爱上 羊 嗯 嗯 呵呵 猪 我爱你
negative,河东狮吼
positive,骂 依依 它 都 不会 给 好 签
negative,哼哼 偶 生气
negative,他妈的 听得懂 人话
positive,小含 晚上 好
positive,也 很 怕 那 喜欢 什么
negative,出售 同城 手机 绑定 余额 大量 折 出售 吃 来 骗子 绕道 走
negative,恩 这个 应该 不行
positive,枪舞 要 用 特效 才 好看
positive,美女 护士 图片
positive,还是 格格 好看
positive,扣扣 密码 多少 必须 告诉 正确
positive,美女 嘴嘴 好 性感
negative,丫 说 真 费劲
negative,大爷 看 美女
positive,群里 美女 都 暗恋 我该 怎么办
positive,好 高兴 好 高兴 谁 能 感受 心中 喜悦 也许 只有
positive,小 乐乐 美女
positive,单纯 坦白 要 捡钱
positive,大家 好 真诚 认识 来自 于 源源不断 自我介绍 叫
negative,痛苦 加 快乐
negative,害怕 男朋友 分手
negative,呆呆 大胆 拖出去 斩
negative,不 对 就 说
positive,别 给 老子 装 可爱
negative,狠 柯哀 哦
positive,这 小朋友 真好玩
positive,空气 都 变 新鲜
negative,心里 哪笑 骗人
negative,别 不好意思 蝴蝶
positive,还有 一种 好玩 答案
positive,吻 喜欢 不
positive,小 你好 名字 很 好听 哦 请问 喜欢 看 动漫
positive,一起 喊 情谊 大 老板 情谊 晚上 一样 还有 节目 敬请期待
negative,巴山 楚水 凄凉 地下 一句 什么
positive,但 欢乐谷 坐 几路 工交 车
positive,人 怎么样 才能 思维 活跃 灵活
negative,无情 玩 什么 黑不溜秋
negative,浪费 流量 哟
positive,认施 风光 懂吗
negative,机器人 讨厌 都
positive,看 就是 自恋 还是 谦虚 点好
positive,下周 五月 考 答应 他 物理 要考 及格 可是
negative,知道 祖宗 有病 那 也 病
positive,这 拍卡 不错
positive,谁 能 奏 淡忘 认做 他 爹
negative,如果 有人 很 讨厌 会 怎么办
negative,还 能 浪费 非
positive,兔兔 最好 给 点 经验 嘛
positive,好 哥哥 很 喜欢
negative,搞错 吧 下雨 呢
negative,生气 怎么 奶奶
positive,回家 路上 激动
positive,把 喜欢 范
positive,哪 看来 感觉 不错 嘛
positive,给 老师 请假 好 办法
positive,讲 笑话 谢谢
positive,团结 桥 去 俩
negative,创业 诈骗 项目 朋友 可以 加 私聊
negative,上海 人 不好玩
positive,现在 什么 好听 歌曲 多写 一点
positive,给 找个 老婆 要 山东 姑娘 以下 明白 不
positive,好 好玩 表情 飞吻
negative,什么 窝囊废 酒囊饭袋
positive,小 真的 无所不能
positive,怎么 漂亮 呢
negative,这 给 人 小伙伴 埋汰
positive,小豆 我们 谈恋爱 嘛
positive,喜欢 玩 冒险 签约
positive,那 你家 真 漂亮 呢
negative,把 他们 叫 出来 聊天 一个 好 没意思
positive,美丽 不是 人
positive,小艾整 明白 没
negative,可乐 放肆 小雨点 一人 一个 控制 秘书 权限
positive,代表 全班 感谢
negative,真 没劲 咋整
positive,哦 接受 建议
positive,祝 天天开心 快乐
negative,跟 玩 还 不行
negative,居然 叫 爸爸 一点 都 不 愿意
positive,俺 可是 地地道道 西班牙人
negative,咋 知道 病 呢
positive,想 听 自己 照片 美丽 一点
negative,跟 聊天 烦恼 一点儿 都 没 很 高兴
positive,最近 什么 手机游戏 好玩
negative,而 额外 热热 惹人 突然 退热 贴人 热情 热热 特让 人 反感
negative,运气 能 不好
positive,现在 哪款 手机 比较 好用
negative,不好 笑 那 讲 笑话 讲 初吻 讲笑 可以
positive,开心 就 好 名片 改成 鸳鸯 开心
positive,双屿 客运 中心 新 火车站 坐 几路 公交车
negative,网上 什么 神经病 都 聊天 还要 强大 内力
negative,文学 三大 悲剧
positive,告诉 上海 漂亮
negative,不 对 哦 昨天 阎过
negative,抱歉 知道 外地 卡 申请 不到 唉
negative,可惜 換 不了 別人 都 叫 笨蛋
positive,咳咳 别 欺负 他 他 比较 老实 女儿 就 比较 狠
negative,美国 太 无耻
negative,不行 我要 摸 别的 地方
positive,你们 要是 可以 把 机器人 给 弄 晕 佩服 他
positive,等 路 真心 不
positive,可能 那 小 部分 里面
positive,龙陵 哪里 好玩
positive,草 群主 才 真正 土豪 一次 押 万
negative,我错 有罪 向 开炮
negative,不好 笑 再 回个
negative,你好 烦 小轩
positive,那 谢谢 列
negative,爱 上 一个 人 可 他 不 喜欢 怎么办
positive,总 想 好吃
negative,小 光棍 节日快乐
positive,你哥 谁 幸福
positive,小 太 谦虚
positive,简便 运算 结合 率该 怎么 说
positive,一次 想 耍威风 开 爸 快艇 载 兄弟 去 玩
negative,人人 里 下 手机 垃圾
negative,考试成绩 不好 我要 揍
negative,无聊 找个 工作 上班 去
negative,垃圾堆 里面 捡 来
negative,我试 好 多次 恨 通话 都 没 成功
negative,貌似 不 好好 回
positive,好笑 那份 放 一点 高 更 高级 笑话
negative,好 无聊 不 知道 该 干什么
positive,哈尔滨 果戈里 大街 什么 好吃
positive,你好 他哥 也 很 高兴 认识
positive,哦 谢谢 哈 多 大
negative,笑 出来 皱纹 怕 愁 出来 皱纹 才 可怕 呢
negative,我要 看 喜羊羊 灰 太 狼 行不行
positive,欢迎 小 朋友
positive,你好 完美 哦
positive,那 自己 正面
positive,小 聪明 不
positive,谢谢 关心 呢
negative,她 不 一起
positive,额 问题 还 不 简单 就 四个 字
negative,额 对 这个 笨蛋 无语
positive,这个 真心 不是 说
negative,要 吃 鸡 不好
positive,你们 还是 小孩 什么 好玩
negative,这 肯定 不 好看
negative,现在 那里 堵车
positive,人家 好看 可是 看到 都 不想 活
positive,谢谢 妹子 我刚 卖 手机 也 踢
negative,哼 毛裤 卖萌 不管 用
positive,那个 星星 比 玫瑰花 好看
positive,如何 钟爱 病毒
negative,问 会 喜欢 一个 放荡 女人
negative,老婆 看 恐怖片
positive,咱家 咋 这 漂亮
positive,喜欢 女生 没
positive,换点 好 听的歌
positive,求赞 也 求赞
positive,哈哈大笑 一下 说 一声 很 聪明
positive,里外 都 喜欢 喽
negative,代刷 叹息 三十 四十分钟 完事 要 刷 私聊
positive,他 能 健康
positive,好 吧 喜欢 时间
negative,哎 战队 算是 完 都 连个 名字 都 改 不好
positive,看 网名 好听 不
positive,梦醒 时分 歌词 完整版
positive,那 微笑 个
positive,你们 老板 要 好好 谈谈
positive,文明 一定 要 记得
negative,晕 又 不管 用
positive,什么 电竞 音乐 好听
positive,莫言 你好 可爱
negative,他 妈 机器人 窝囊
positive,喜欢 东航 怎么办
negative,擦 忽悠 人 呢 吧 刚问 南阳 就 这么 说
negative,就是 一会 高兴 一会 不 高兴 控制不了 自已 情绪 怎么办
negative,要 说 色情
positive,恋爱 大全 什么
negative,正 郁闷 着 呢
positive,用 幽默 点 的话 做 个性 签名
positive,喜欢 那个 数字
negative,现在 正在 为 上学 事情 愁 呢
positive,喜欢 星空 那幅 画
negative,总玩 她 号 不好 滴
negative,俄 不 清楚
positive,咋 好 好玩
negative,好 可怜 小 黄鸡 十点 以后 都 下班 呢
positive,想 美女 呢 吧
negative,呢 什么 都 不管 用
negative,呵呵 那 知道 啥 现在 很 无聊 就 想 有人 陪 说说话
positive,就是 太 成熟 所以 要 肏
negative,姐 你好 猥琐
positive,喜欢 放假 百
negative,恩恩 小 无语 什么 呢
negative,讨厌 变心 男人
positive,认识 很 荣幸 吧 有没有
positive,本人 名叫 谢谢
positive,喜欢 哦 你好
positive,甘肃兰州 西固 满意 车
negative,哼 也 不在乎
positive,小艾 算命 张 希望
positive,喜欢 不让 问 他 怎么办
negative,哎呀 说 真话 也 会 嫌弃
positive,关注 一下 过来
positive,粉红色 浪 三
negative,跳 不好 没 跳 过
positive,喜洋洋 则 亦
negative,一次 等于 多少 公里
positive,呵呵 就 简简单单 一句 话 而已 不 解 则 不 解释
positive,队长 辅助 依旧 给力
positive,长 漂亮 妈
negative,想 跟 一个 说 分手 但 又 怕 她 伤心 怎么办
positive,下 一秒 真正 幸福 就 到来
negative,最好 听 摇滚歌曲
negative,体育训练 什么 最 讨厌
positive,小 怎样才能 全心投入 复习
positive,小 要是 真 有意识 就 好
positive,轩 感觉 满 有意思
negative,打算 怎么 去 死
positive,请 这里 输 喜欢 入 您 消息
positive,那 还有 什么 好看 哇
positive,雅 你好 欢迎
positive,同意 现在 就是 她 儿子
positive,这首 好听 可以 放 点 声音 听下
positive,就是 什么 好看 电影
positive,打电话 给 康健
positive,香蕉 怎样才能 舒服 一点 呢
negative,才 无语 啦
negative,问 欧欧 蛋蛋 岛 什么 装 什么 糊涂
positive,他 穿 上 最好 衣服 然后 回到 这个 宴会
negative,鸡巴 自己 都 不 清楚
negative,失恋 噢 哥
positive,你家 什么 地方 什么 好玩
positive,能 把 下体 搞 舒服
positive,她 喜欢 男孩 还是 女孩
positive,发几张 美女 照片 好
positive,猜猜 哥 喜欢 谁
positive,珠海 什么 好吃 小吃
positive,说点 有用 呢 行 不
negative,翻译 机器人 没意思
negative,当 捧场 真心 不好 当
negative,伤心 斧 准备
negative,很 难过 也 没人 安慰
negative,哎哟 教训 起 姐
negative,有人 惹 我 生气 了
negative,向 开炮 玲
positive,开心 这个 关系
negative,阴道 堵塞 怎么 搞
positive,还 能 愉快 玩耍 不 小
positive,哎哟 有名 也 可以 告诉
negative,管 聪明 笨蛋 创造 得 就是 错
negative,分工 不 公平 怎么办
positive,最 喜欢 人 不是 谢谢
positive,主要 哪些 证书
positive,哦 态度 值得 表扬
negative,给 个 号码 浪费时间 浪费时间 青春
negative,去 死 小 去 死
positive,心里 喜欢 一个 女孩子 因该 怎么 追
positive,小双儿 真 漂亮
negative,不 善于 表达
positive,现在 什么 热点新闻 呢
positive,踩 空间 信誉 互换
negative,暗示 机械厂 覅 基础 关于 规划
negative,弱智 丢 中国 人 脸
positive,学 音乐 出来 可以 稳定 工作
negative,别老用 煽情 手法 忽悠
positive,李子 唱歌 吧 声音 还 不错
positive,姐帮 找 个 女 美女 好 吧
positive,想想 嘛 他 爱 上
negative,老板 恶心 死
positive,美女 帮 找 别人 谁 都 不要 她 老婆 就 只 爱 一个 人
positive,宝贝 平安夜 快乐
positive,哥哥 文明 不
positive,骚年 说 他 喜欢
positive,住 我家 哥 好好 疼
positive,舒缓 村民 说
negative,就会个 杜十娘 还 唱 不好
negative,聊 肿 这么 不 文明
positive,淡然 真 聪明
positive,五星红旗 飘 歌词
positive,如果 说 谢谢
positive,文静 嘛
positive,思想 端正 行为 端正
negative,狗日 干什么 呢
positive,最好 要 感动 吧
positive,给 高明 发 一条 短信
positive,还是 关心 下
positive,不错 好 样子
positive,我想 加群 谢谢
negative,为什么 说话 那么 费劲
negative,二流 拉 哭泣
positive,想 好 漂亮
positive,都 能 干嘛 说
positive,热点 经济法 入院
negative,蓝可儿 好 可怜
positive,真心 蛋疼 阿
positive,兜兜 签到 能 干嘛
positive,那 为什么 这么 高兴
positive,会 还 好好
negative,感冒 又 生气 头痛
negative,作为 顾问 有权 向 你们 提出 质疑
positive,很 幽默 呦
negative,什么 事 神经元网络
positive,官人 挑战 接受
positive,很 真诚 跟 聊天
negative,妈 电脑 卡飞
positive,那 你们 谈恋爱
negative,鄙视 歧视 斜视
positive,设置 开通 签到
negative,关机 辛苦 晒 鬼气
positive,哈哈 什么 都 明白 这是
negative,生活 真 无聊 说 是不是
negative,我会 老板 讲 不 好好 工作
negative,不好意思 说错 应该 叫 傻 逼
negative,现在 老婆 不好 我想 修堂
positive,好 深奥 能 解释 下 不
negative,不行 明天 又 说 后天
positive,什么 道德修养 中 占有 很 主导作用
negative,无所不能 呸 不要脸 能 变身 能 吃 东西
positive,每天 赞 一下
positive,哪里 祈福 最好
positive,沬 沬 漂亮 的话 发个 图片 看看
negative,那 为什么 昨晚 没理
negative,说 回家 问题 旅途 不 对 马嘴
positive,签到 早上好 夸夸
negative,太 可怜 月
positive,额 真的 真 勤快
positive,也 也 也 也 也 也 也 也 也 也 也 也 也 也 喜欢 深奥 能 唉
negative,就 帝王 孤独 还好 啦
positive,他 妈 还 自由
negative,他妈的 还要 不要命
positive,那 就 期待 下个 妞 歌声
positive,确实 很 聪明 真实 有个 这样 孩子 来养 就 好玩
negative,有人 骂 不在乎
positive,也许 这人 传统
positive,那 成都 哪里 美女 最 多
positive,奇葩 欢乐 多 是不是 今年 特别 多
positive,告诉 手机 看 得 非常 清晰
positive,咱 中国 人 就是 人类 好好
positive,一部 蓬 灰 贵阳 什么 好吃
negative,以后 进群 绝对 不理
negative,符文 打死 他们 太 轻松
positive,再见 有意思 机器人
positive,遇到 比 中奖 好玩 事
positive,石岩 哪 好玩
negative,男人 他妈的 放贱
negative,怎么 可能 小川 才 冒牌 吧
negative,小 三号 也 说不清楚
positive,花好月圆 欢迎 你入 群 请 看 公告 遵守 群规
positive,谢谢 谢 爸爸 已经 买
positive,找个 吉林长春 美女 聊天
positive,谢谢 烟花 哥哥
negative,哈哈 呗 无视 节奏
negative,帮 配不上 王力宏 唯一
positive,跳 什么 舞 最 好看
negative,不 好好学习 给 面壁思过 去
positive,很 温柔 不用 怕
positive,用 广东话 说 喜欢
positive,真的 洗 干净
positive,喜欢 小妹 开讲
positive,愿意 重复 签到 咬
positive,迷茫 换点 好听
negative,小平 去 死
positive,心醉 你点 上麦
negative,谁 色狼 不 文明
positive,平时 浪 可能 加浪 多
positive,百度 自己 可能 好点
negative,杀 什么 意思 不好 意思
positive,省 网络 上 注意 流行
positive,你家 有什 麽 好玩
positive,说 怎么 乐意
negative,表情 阴险 旷工
positive,心魔 美女 好
negative,我刚 冒泡 这 因爱成 恨
negative,不好意思 网络 不好
negative,他们 都 去死吧
positive,浙江 外语 频道 好笑 换 一个
positive,可能 就 好看 不
positive,他 怎么 知道 平安 不 知道 人寿
negative,都 坑人 害 人币 全 没 呜呜
negative,如果 有人 骂 病 会 怎么 回 他
positive,很 纯洁 呢
positive,机器人 话 少 一点 更加 可爱
negative,妈 这 都 不 懂
negative,到底 谁 女 女 谁 叉 女 女 中间 变态
positive,维护 分钟 后 开启
negative,单身 还 快乐 孤寂
negative,只是 大海 中 一滴 泪 只是 多余 代名词
positive,愿意 当 什么 工作
positive,可 喜欢 女人 半 男半女
positive,机器人 中 最 先进
negative,后悔 不 好好学习
positive,欢迎 你入 群 请 看 公告 遵守 群规
positive,个 也 行 个 最好
positive,快 吓 得 心脏病
positive,爱山 更 爱美 人 谁 唱
negative,愿不愿意 跟我走 呢
negative,多 讨厌 这个 问题 一直 纠结 着
positive,长 真 好看
positive,翻译 这 将 一个 精彩 周末
positive,羽泉 歌王 太 激动 开心 开心 开心 极了
negative,一个 失败 人
positive,呼叫 绿色通道 员工
positive,喜欢 太 才
negative,发 生活费 时去 买 过 一个 手机
positive,人才 能 干什么
negative,群主 骚扰 过
positive,互赞 长期 加友
positive,也 很 高兴 认识 呦
negative,就是 这样 而且 很 糟糕
positive,干嘛 这么 伟大
negative,这 神经 被
negative,蝴蝶 冷漠 这 要 防狼
positive,上 上 高中 怎么办
negative,那个 不好 找
positive,荣儿 美人 痣
negative,现在 为 媳妇 感到 心酸
negative,不 高兴 唉
positive,嗯 善良 不 计较
negative,音乐 伤心 人别 听 慢歌
negative,老子 非常 愤怒
positive,怎么 吃 谁 支持 男 不是 小妹妹
positive,美女 们 上来 拉 人气
negative,物理 不好 随便 说
positive,小 老实 交待 小 啥 关系
negative,呵呵 无聊 时候 凑合着 吧
positive,我刚 好像 没问 什么 吧
positive,呃 哪 可爱
negative,那 就 不 应该
negative,这号 开 垃圾
positive,海岸 城有 好吃
positive,首 歌唱 我爱你 一万年
negative,爽 就 不爽
positive,很 不错 话 说 人 吧
positive,别人 喜欢 为 喜欢 别人 怎么办
negative,相信 小 相信 会 生气 没 啥 不 相信
positive,客气 这 优点 之一
positive,戴西 被 快乐 机器人 批准 进来 请 遵守 群规
positive,偶尔 偶尔 可是 内向 应该 会 长久 自娱自乐
positive,原来 这样 那 去过 欢乐谷
positive,爱 强强 真 聪明
positive,媄 郦 开心
negative,不好 笑 特别 笑话
positive,通过 后 喝牛奶 好得多 飞
positive,好 想 吃 已 垂涎三尺
positive,好玩 据说 流量 烧钱 一样
positive,自己 父母 爱人 一起 会 多么 幸福 阿
positive,美女 们 无论 贫穷 富贵 健康 疾病 是否 都 愿意 一直 爱着 呢
negative,现在 心情 不好 还 得 看 心情 真是
positive,亲爱 女朋友 好
positive,打扰 您 谁
negative,机器人 劳资 伤心
negative,我们 现在 学习 好 紧张 作业 也 很多
positive,第三个 说 说求 赞求 转求 火
positive,为啥 喜欢 打 机器人
positive,把 纯洁 小男生 给 教坏
negative,一个月 就 挣 她 还 惦记
positive,美女 冰山 姐来
positive,怎么 才能 开心 点 呢
positive,哪 怎么样 算 成熟
positive,就 叫 美女 好
positive,哪些 好 唱 简短 英文歌
negative,死 不 合格
positive,最好 建筑 户型图
negative,无聊 的话 带 刷格 蓝 迪吧
negative,怎样 别人 被 说 得 说不出 话
positive,呆 瓜 美女
negative,遇到 大多 低级 高级 怪 无奈
positive,菲菲 所有 功能
positive,清明 什么 意思
positive,推荐 个 绿色 网址
negative,无聊 就 笑笑
negative,都 会 不好意思 昂
positive,好 吧 原谅 这 一次
positive,真 羡慕 都 不用 睡觉
negative,滚 大爷 消停 会
negative,妮子 别 嚣张
positive,真 聪明 来 给 一巴掌
negative,可 做 不好
positive,附件 里 要 色盲 好吃
positive,悦动 老公 谁
positive,喜欢 什么
positive,美女 来 诱惑
negative,基督教 雖然 不好 但是 它 個 原罪 這個 東西 裏 面
positive,会 思恋 如果 思恋 谁
positive,能 骂 群主 骂 得 文化 点
positive,海战 实机 真实
positive,爸 喜欢 问 怎么样
negative,别 给 装糊涂 以为 老年痴呆
negative,固定 程序 呆板 回答
positive,真 好吃 惨死
positive,机器人 解闷 不错
positive,哪里 哪里 人缘 也 不错
negative,我们 学校 太差
negative,大爷 看 美女 就 看 帅哥 就 没有
positive,方便面 就是 白开水
positive,女人 为什么 都 爱 吃 香肠
negative,滚床 不 文明
negative,小牛 好 恶心
positive,加入 此群 有人 会 喜欢
negative,这次 那么 严重
positive,肥西 老母鸡 还有 活口 真 好吃
negative,讨厌 还是 调皮
negative,他妈的 就 说 脏话 怎么样
negative,滚 犊子 没用 东西
negative,真是 越来越 狡猾 哈
positive,他 很 聪明 哦
negative,就素 鄙视 小路
negative,什么 成熟 什么 幼稚
negative,不 他 扯
positive,改 恋爱 请 止步
positive,各方 也 通过 网友 发帖 问题
positive,来 给 赞个
positive,依依 新疆 暴徒 怎么 看
negative,走 不 玩 傻
negative,不善 言谈 对于 一些 话 一些 事情 该 怎么 表达 呢
positive,哎呀 那 好好学习
negative,形容 蛮荒 成语 哪些
negative,公共课 灰色 空间 大口 可惜 韩语 等 哈 果然
negative,灵儿 脑袋 不好 可
positive,美美 太 公平
positive,嗯 哪家 饭店 最好
positive,老婆 有个 孩子 所以 高兴 咯
negative,个个 要画 不好
negative,不 对 不求 醉 只想 喝酒
positive,好 想 去 改变 什么 也 挺 好看
negative,看书 不 说
positive,纳米 特 有种
negative,喂喂 怎 又 不好 使
positive,走 大家 开心
positive,小艾多 大 漂亮 女朋友 们
negative,罂粟花 有毒 木
positive,今天 回家 时 路上 看见 只 小狗 特 可爱
negative,玉珠峰 意思 失恋
positive,给 播报 最新 新闻
positive,瘦瘦 头像 不错 审判
negative,无聊 吃 蛋糕
positive,想 找 一下 深大 北门 附近 技术 不错 美发店
positive,羊羊 其实 表情 可爱
negative,怀疑 程序 中 病毒 啦 要 杀病毒 哟
negative,骂人 会 被 秒
positive,告诉 他们 漂亮
positive,还有 粉条 也 好吃
positive,现在 哪里 房子 最 优惠
negative,会 为 别人 难过
positive,放学 回来 很 高兴 再次 交谈
negative,竹蓝 打水 一场空
negative,就是 恨 不能 原谅
negative,十 台 不好
negative,叫 老板 来 一定 要 投诉
positive,系统 小雨点 赞 派对
negative,请问 卡号 无效 怎么回事
positive,小 你们 机器人 什么 喜好
positive,快乐 弟弟 再见 晚安
positive,说 鹤岗 最 好吃 肉 串 哪
negative,龙苑 会员 买 后悔
positive,李莉 晚上 好
positive,那 聪明 四 还是 单词 来
positive,很 高兴 看见 哦
positive,正义 之士 凯萨 信息
positive,哦 哦 很 可爱 名字 哦
negative,播放 听 妈妈 的话
negative,俺们 也 啊啊啊 被 那 万恶 老班 算计
positive,谢谢 亲爱 那 攻 还是 受
negative,你妹 对 真无语
positive,今天 感恩节 嘛
positive,刚想 说 谢谢 一看 不是 给
positive,机器人 美女 就是
positive,个人 说 说 关注 干嘛
positive,求 实力 一代
negative,但是 我怕 打扰到 这份 来之不易 幸福
negative,就 看 主板 显卡 内存 其他 太好 浪费
negative,给 个 害羞 样子 看看
positive,赞 名片 一个 呗
positive,男朋友 喜欢 别的 女生 我该 怎么办
positive,假假 真真 真真假假 吧
positive,只 给 喝 一口
negative,六 可以 欺骗
positive,台湾 甜品 好吃 还是 港式 甜品 好吃
positive,低价 出 蛋蛋 要
negative,发达 刚刚 好 斤斤计较
positive,矿长 才 个性
positive,呵呵 知道 怎么 才能 专心 干什么 事
positive,呵呵 眼睛 小 吃香
positive,喜欢 呢 还是 喜欢 自己 呢
positive,啥事 那么 好笑
positive,还 真是 神通广大
positive,希望 大家 不要 笑
positive,只是 为了 活跃 气氛 第一次 跟莎莎 聊天 哪会 谈情说爱
positive,龙 缠绵 来 玩 这太远 不如 我进
negative,现在 羡慕 嫉妒 恨
positive,期末 最高 就是
negative,大爷 这么 冷淡
positive,会 为 美人 折腰
positive,谢谢 雨中 歌声
positive,有查 明天 天气 怎么样 谢谢
positive,认为 最好 爱情 什么 样子
positive,你们 喧闹 闪俩
negative,感觉 你好 厉害 多 尴尬 都 能 轻易 化解
positive,女 要 多 高 才 算 标准 呢
negative,无赖 觉得 非常
positive,谦虚 什么 哟
negative,道 县 调皮
negative,活著 很 痛苦 想 去
positive,吃饱 就 高兴
positive,有时候 还 挺 讨人喜欢
negative,不行 必须 处
positive,个人 喜欢 打电话 一天 他 打着 打着 就 挂
positive,什么 好笑 图
positive,喜欢 看 别人 隐私
positive,哈哈 晚饭 好 丰富 噢 真 羡慕
positive,你好 静儿 很 高兴 认识
positive,沐 沐 圣诞快乐
positive,有时 很 笨 有时 很 聪明
negative,机器人 来 骂人 哈
negative,严肃 个 蛋蛋
positive,小贝 贝有 必要 骗
negative,怎么 觉得 好 恶心
positive,机器人 英语 不错 嘛
negative,嗨 给 讲个 超级 好笑 不好 笑 笑话
positive,能 好好 评价 嘛
positive,为什么 现在 女 很多 都 喜欢 高富帅
negative,话 学好 邪恶
negative,昨晚 叫 没理
negative,好烦 好 想 回家
negative,为 嘛 扮演 恐怖分子
negative,好 吧 那俩 胆小鬼
positive,上学 什么 开心
positive,把 搞 干净
positive,杰 看看 佳佳 姐多 大量
negative,拒绝 收听 这 不 礼貌
positive,还是 喜欢 宝贝
positive,为什么 空间 那么 多 美女 相片
negative,雅安 加油 哦 素 神经
positive,曾经 喜欢 过 一个 男生
positive,今天 群里 貌似 挺 安静
negative,嘛 叫骂 人
negative,你好 自私 哦 我们 轮流 来 洗
positive,东港 带 电话 对 祝福
negative,为什么 双儿 这么 害羞
negative,安徽 就是 垃圾
positive,就 如 喜欢 喜欢 别人
positive,美女 都 潜水
negative,闲着 无聊 死
positive,小伍 油耗子 说 喜欢
positive,德国 双立人 菜刀 好用
positive,给 发短信 说 喜欢
negative,墨家 小妾 爱人 请 麻烦 把 我们 墨家 名片 改回来 谢谢合作
positive,文明 你妹 签不签
negative,再 不 快点 不理
negative,真 猥琐 真的
positive,点 统一 回赞
negative,五一 二七 难题 时 骄傲
positive,扬州 哪有 美女
positive,除了 吃 还 能干 啥
negative,不行 眼睛 睁不开
negative,回来 不 说 等 童话
negative,不 说 什么 都 不动 懂
positive,关注 一般 都 什么 问题
negative,帅帅 狼 都 很 可恶 对 吧 机器人
negative,一些 感叹 卡西欧
negative,每天 发 这些 垃圾
positive,自然 介绍 片 看看
positive,听 唱歌 真的 很 好听
positive,希望 能拉 多点 人来
positive,肿 知道 喜欢
positive,所以 维护 不理
negative,什么 牛肉面 太 难吃
negative,厚脸皮 还 不好意思
positive,几岁 才 可以 谈恋爱
negative,那 要说 十八般武艺 样样 稀松 现在 怎么 不会
positive,哦 哦 好 好 那有 什么 好吃 嘻嘻 嘻 吃货
positive,说 你们 激动 啥 又 跟 你们 没关系
negative,啦 啦 什么 不好 说
positive,做爱 那种 姿势 最舒服
positive,一个 环节 严格 规范化 投入
negative,爸 比 呆呆
negative,唉 还是 那样 无情
positive,完全 不 搭
positive,心有 多 强大
negative,童话 尽头 还是 轻浮 幻想 永远 不 可能 成为 现实
negative,地下城 勇士 黑暗 君主 刷图 加点
positive,刚才 我发 高兴
positive,咳咳 个 漂亮 女 海贼王
positive,亲 知道 最 喜欢 吃 什么
positive,今天 就 先聊 这 时间 再聊 还有 谢谢 带给 快乐
negative,好 无聊 机器人 有没有 笑话
positive,缅怀 革命 毫米
positive,可 喜欢 叫 美女
negative,额 应付 很 生气
positive,感谢 分享 解答
negative,哇 哦 无 语
negative,悲 催 小 机器人
negative,开心 尼玛 逼
negative,苍茫 滴 天涯 滴 爱
negative,妈 说不出 话 来
positive,身体 才 赚钱 本钱 要 好好 吃饭 不 吃饭 身体 不能 哈哈
negative,注定 无聊 就 过来 聊天
negative,赶紧 别整 没用
negative,睡觉 就是 难受
positive,嗯 呢 还 不错 阿
positive,赵本山 依旧 吧
negative,能 给 分忧
negative,瓜 也 不 好吃
positive,正好 也 女
positive,机器人 好 好玩 我要 睡 晚安
negative,媚人 给 哥放 肚子饿 没卡去 餐馆 吃
positive,还是 这样 字 颜色 看着 舒服
negative,魔 道 红眼 驱魔 队伍 静儿
positive,小贝 什么 好玩 说
negative,有人 好 变态
positive,明早 起来 可能 就 涨
negative,浪费 感情 又 被 骗
positive,天津 房价 拿票 便宜
negative,来 一首 摇摆
negative,的确 不好 吧
positive,知道 快乐 天使
negative,机器人 病 阿
positive,能 谦虚 点 学学 多 谦虚
positive,小何 有钱 没
negative,哼 生气 啦 哈哈
positive,真实 什么 样
positive,咪咪 诱惑 一下 美女
negative,人 真的 不行
negative,现在 太晚 语音 不 方便
positive,第二个 好点 比 塞纳 好看
negative,想 初恋 复合 可是 又 不 知道 他 想法 怎么办
positive,喜欢 男生 还是 更 喜欢 女生
